Series Name	Series Code	Country Name	Country Code	1990 [YR1990]	2000 [YR2000]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]	2016 [YR2016]
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Iceland	ISL	24.9456500412039	23.2758682000185	21.5788353551725	21.3509529630717	21.1337549628423	20.9198785066123	20.8454038563374	20.7061071652747	20.5505974332497	20.419591956446	20.3196478712909	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	India	IND	37.9295678119545	34.7326364682896	32.0618035060224	31.6887834846104	31.3010774358407	30.8942920698212	30.5016899043978	30.0831921430467	29.6481255832664	29.2127967672526	28.7881273244017	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Indonesia	IDN	36.4338113044871	30.6862227772367	29.2631109085733	29.0625916345913	28.9430194133386	28.8851670252385	28.5963928324083	28.3897224348253	28.2075796150247	27.9827706752671	27.692387224502	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Iran, Islamic Rep.	IRN	45.3846802435983	34.9455813724215	24.4673937884654	23.9726001239227	23.6512685628223	23.4587767480947	23.3811751338264	23.3756500963963	23.4302918073432	23.5186306387248	23.6094714662524	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Iraq	IRQ	45.8865900904857	42.9650391641464	41.8730982750986	41.8911223674857	41.8922969730971	41.8580526805683	41.7421834319189	41.5576918747354	41.3449751587384	41.1498297026025	40.9827584715812	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Ireland	IRL	27.51725601203	21.3772271469976	20.2611896426478	20.4148526442783	20.5832356974275	20.7180593823189	21.0173674977658	21.2759872387137	21.4831834559518	21.6489517800873	21.7805614417512	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Isle of Man	IMY	..	..	..	..	..	..	..	..	..	..	..	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Israel	ISR	31.2604505595599	28.0865841408076	27.5422995329127	27.4422566835753	27.343230670013	27.238136976495	27.3801870973832	27.5278845025419	27.6666072297923	27.7740376797834	27.8334570927015	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Italy	ITA	16.4696036809282	14.3384978840827	14.1092960284703	14.0894233394855	14.0607436745462	14.0211905392305	13.9956483515062	13.9404708084174	13.8654581092325	13.7856744656977	13.7103819320096	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Jamaica	JAM	35.0845374686793	32.5103505833441	29.1686478548077	28.5641052439441	27.8870520135919	27.1278864081498	26.4662518465984	25.6951137636561	24.8830328697919	24.1523284761512	23.5783391537356	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Japan	JPN	18.3145136595277	14.624338126192	13.5797469257666	13.4915836657689	13.3978872017254	13.2898902874511	13.2195494169485	13.1310850280338	13.0331493419961	12.9392124413157	12.8554961682692	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Jordan	JOR	46.2123185883501	39.36118398918	37.2264657021258	37.0493849037485	36.8814710385496	36.6926402197514	36.4939882737205	36.3060803485506	36.10158905987	35.8488571392742	35.5254237020325	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Kazakhstan	KAZ	31.4706140528385	27.6442592648185	24.2270159988656	24.101835854638	24.0699671444712	24.178241126765	24.5256384970556	24.9729586412115	25.525929167944	26.1308486985757	26.7173992549088	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Kenya	KEN	48.9691625890031	44.3182346385835	42.7449588650259	42.6982017413145	42.6583145378094	42.6096797056698	42.5251075846197	42.4227636344593	42.2938693376617	42.1251552734876	41.9090628330733	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Kiribati	KIR	40.2866967725898	39.9639836030614	36.0886719966774	36.2780255391773	36.318437642941	36.0562310030395	36.1563891383692	35.8525604952167	35.3561689268868	35.0095048429438	34.9465856630761	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Korea, Dem. People’s Rep.	PRK	26.7701011876884	26.0204784385158	23.9828350636998	23.5161533271003	23.0640437561336	22.6659686130564	22.2633148256253	21.9487482167702	21.6915809373545	21.4387217017041	21.1674255585807	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Korea, Rep.	KOR	25.6312154349642	20.9595403186723	17.8948385130176	17.4558535977091	16.8857703221314	16.2400679192751	15.774971304803	15.2473638009782	14.7367644145188	14.3126884333574	13.9926999225485	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Kosovo	KSV	..	..	..	..	..	27.4774774774775	..	..	..	..	25.7377049180328	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Kuwait	KWT	34.8653022684707	27.5800090180205	24.981495640692	24.5614703044775	24.1097679022561	23.5747463697179	23.4529654255196	23.1310502660999	22.7580071619998	22.4799307030069	22.3241091283274	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Kyrgyz Republic	KGZ	37.5677380508645	34.9803727660777	30.2803036257656	30.0398903007298	29.9360445773571	29.9681749715943	30.0628737625425	30.3134787358164	30.6688064705106	31.049707740942	31.4016486974159	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Lao PDR	LAO	44.2064070695711	43.3159163814116	39.048719163504	38.3296068325228	37.6349978620717	36.9776332535958	36.5083904921525	36.0067201705533	35.5192906974712	35.1009672163007	34.7696119228059	..
